;MIRI Telescope Simulator (MTS) Short-Wave Pass Filter
;Document Reference # : CDR 00779					
;Sample ID	6LG	6LP	2H2
;Assignment	Flight Item	Flight Item	Test Piece
;Batch		05482/05483	05482/05483	05482/05483
;Msrmnt Filenam	6LG_RT_1E	6LP_RT_1E	2H203535
;Temperature	297K	297K	35K
;Angle		0°	0°	0°
;Mode	T%	T%	T%
;Polarization	No	No	No
;Polarization Angle	n/a	n/a	n/a


;micron	T1%	T2%	T3%		
29.45	0.243107319	0.053817332	5.12607813
29.50	0.231014669	0.060818333	5.24182653
29.55	0.201896995	0.074421004	5.44312572
29.60	0.171626002	0.082773998	5.59902287
29.65	0.134766504	0.087888002	5.76275635
29.70	0.094910502	0.087453999	5.92050743
29.75	0.055631001	0.080421001	6.05790806
29.80	0.0219885	0.066433504	6.15430307
29.85	-0.009915667	0.034703665	6.19017601
29.90	-0.020752	0.011435335	6.15805006
29.95	-0.023478501	-0.021567501	6.04162121
30.00	-0.019318	-0.037279502	5.93599033
30.05	-0.019318	-0.037279502	5.93599033

