;MIRI Telescope Simulator (MTS) Long-Wave Pass Filter
;Document Reference # : CDR 00780
;Sample ID	4EM	4EN	4AX	
;Assignment	Flight Item	Flight Item	Test Piece	
;Batch		05476/05477	05476/05477	05476/05477	
;Msrmnt Filenam	4EM_RT_2C	4EN_RT_2C	4AX03522	
;Temperature	297K	297K	35K	
;Angle	0°	0°	0°	
;Mode	T%	T%	T%	
;Polarization	No	No	No	 
;Polarization Angle	n/a	n/a	n/a	


;micron	T1%	T2%	T3%		
24.70	47.6055641	45.1574745	53.0882301
24.75	47.2833214	44.841156	52.5997276
24.80	47.0067558	44.5691986	52.2129631
24.85	46.7094879	44.2713165	51.7961388
24.90	46.2612724	43.7976532	51.1249657
24.95	46.0127411	43.5257759	50.7225227
25.00	45.4531517	42.910965	49.7476158
25.05	44.9685287	42.3956985	48.8689079
25.10	44.4531898	41.8642731	47.9516602
25.15	43.7341003	41.1643372	46.8234558
25.20	43.3828583	40.8344841	46.3612099
25.25	42.7234459	40.2258911	45.6318855
25.30	42.275032	39.8132515	45.1675301
25.35	41.8486176	39.4203377	44.6925774
25.40	41.3144264	38.9335213	43.9754372
25.45	41.0552292	38.7026787	43.5986023
25.50	40.5491982	38.2608566	42.8761101
25.55	40.3027382	38.0463295	42.5542641
25.60	39.8276176	37.6209068	42.0383034
25.65	39.6018562	37.40868	41.8572693
25.70	39.1790886	36.9903145	41.6537514
25.75	38.9821358	36.7876587	41.621769
25.80	38.6112938	36.403019	41.6547813
25.85	38.4334221	36.2221375	41.7049751
25.90	38.0864372	35.8816376	41.8595085
25.95	37.917614	35.7210655	41.9619102
26.00	37.5981827	35.4193344	42.2009926
26.05	37.4525948	35.2794495	42.3189545
26.10	37.1952248	35.0242767	42.4893074
26.15	37.0819206	34.9087296	42.521698
26.20	36.873291	34.6955223	42.4561348
26.25	36.772644	34.5948982	42.3634529
26.30	36.624382	34.4505234	42.1712723
26.35	36.487896	34.3250237	41.9132233
26.40	36.4069862	34.2546005	41.7154388
26.45	36.2723274	34.1484108	41.2402
26.50	36.2102928	34.1028709	40.9609489
26.55	36.0529823	33.9758759	40.3457489
26.60	35.9366608	33.8701324	40.0419159
26.65	35.7060547	33.6489105	39.6349907
26.70	35.3871956	33.3328896	39.3732567
26.75	35.1489792	33.0978508	39.2623711
26.80	34.6432228	32.6121407	39.1301079
26.85	34.3924103	32.3808746	39.055851
26.90	34.0325394	32.0604172	38.8758698
26.95	33.7072906	31.7794495	38.5565491
27.00	33.5048561	31.6024246	38.3060112
27.05	33.222023	31.3457336	37.9117203
27.10	32.9679222	31.0925999	37.5834846
27.15	32.8077736	30.9241581	37.4138756
27.20	32.5028229	30.5894623	37.2060242
27.25	32.3514252	30.4238052	37.1449242
27.30	32.1176147	30.1760139	37.06744
27.35	31.8608551	29.9244747	36.9630013
27.40	31.6775875	29.7530823	36.8713951
27.45	31.385498	29.4892426	36.7016792
27.50	31.0722885	29.2140045	36.4910507
27.55	30.8587437	29.0267334	36.3392906
27.60	30.5351715	28.7419662	36.0976944
27.65	30.3199005	28.550848	35.9261093
27.70	29.9991894	28.2646122	35.6462975
27.75	29.784708	28.073555	35.4426117
27.80	29.4577446	27.7843475	35.1039734
27.85	29.106123	27.4793091	34.7097626
27.90	28.8545628	27.2634945	34.4324188
27.95	28.4455566	26.9152184	34.0115395
28.00	28.1442909	26.6583366	33.7438431
28.05	27.6553631	26.232935	33.3769035
28.10	27.3148422	25.9283905	33.1406212
28.15	26.7905788	25.4428787	32.7770157
28.20	26.2642517	24.9211483	32.3540764
28.25	25.916748	24.5622635	32.0459137
28.30	25.3979187	24.009882	31.565033
28.35	25.0477295	23.63134	31.2587967
28.40	24.4970798	23.0480328	30.8698444
28.45	24.110405	22.6513138	30.6547108
28.50	23.4990158	22.0479298	30.3956528
28.55	23.0721283	21.6460037	30.260994
28.60	22.6432648	21.2526588	30.1372147
28.65	22.0206051	20.6950912	29.9542675
28.70	21.626318	20.3450527	29.8291073
28.75	21.0718651	19.8528862	29.6342754
28.80	20.7297707	19.5455418	29.4972572
28.85	20.3996067	19.2439041	29.3516045
28.90	19.9115753	18.7848377	29.0979767
28.95	19.5814915	18.467432	28.8996677
29.00	19.0704994	17.9674835	28.5465775
29.05	18.7103577	17.6120834	28.2601166
29.10	18.3322735	17.2416744	27.9410763
29.15	17.7246971	16.6599941	27.4149494
29.20	17.299448	16.2622509	27.0521374
29.25	16.6356201	15.6559181	26.505497
29.30	16.1810532	15.2500229	26.1510391
29.35	15.7292147	14.8491631	25.8090744
29.40	15.2883549	14.457202	25.4803295
29.45	14.672677	13.896657	25.0074844
29.50	14.2918882	13.5379286	24.6964283
29.55	13.7624464	13.0172176	24.2253075
29.60	13.4354458	12.6761332	23.8962746
29.65	13.116025	12.3321304	23.551033
29.70	12.7920151	11.979126	23.1875801
29.75	12.4560604	11.6152287	22.8105335
29.80	12.1024609	11.2413654	22.4308662
29.85	11.5391836	10.6738195	21.8950863
29.90	11.1555681	10.3029671	21.5775776
29.95	10.5831661	9.77234077	21.1845055
30.00	10.2203751	9.45144081	21.0022469
30.05   10.2203751	9.45144081	21.0022469
