ypos 	 xpos 	 value 
260 	 75 	 0.99099 
261 	 75 	 0.99267 
262 	 75 	 0.99424 
263 	 75 	 0.99569 
264 	 75 	 0.99703 
265 	 75 	 0.99825 
266 	 75 	 0.99935 
267 	 75 	 1.00032 
268 	 75 	 1.00118 
269 	 75 	 1.00192 
270 	 75 	 1.00254 
271 	 75 	 1.00304 
272 	 75 	 1.00339 
273 	 75 	 1.00351 
274 	 75 	 1.00331 
275 	 75 	 1.00272 
276 	 75 	 1.00165 
277 	 75 	 1.0 
278 	 75 	 0.9977 
279 	 75 	 0.99467 
280 	 75 	 0.99091 
281 	 75 	 0.98656 
282 	 75 	 0.98177 
283 	 75 	 0.97673 
284 	 75 	 0.97157 
285 	 75 	 0.96646 
286 	 75 	 0.96156 
287 	 75 	 0.95703 
288 	 76 	 0.95293 
289 	 76 	 0.9492 
290 	 76 	 0.94575 
291 	 76 	 0.94249 
292 	 76 	 0.93932 
293 	 76 	 0.93617 
294 	 76 	 0.93293 
295 	 76 	 0.92953 
296 	 76 	 0.92592 
297 	 76 	 0.92212 
298 	 76 	 0.91816 
299 	 76 	 0.91409 
300 	 76 	 0.90994 
301 	 76 	 0.90576 
302 	 76 	 0.90156 
303 	 76 	 0.8974 
304 	 76 	 0.89329 
305 	 76 	 0.88925 
306 	 76 	 0.88527 
307 	 76 	 0.88136 
308 	 76 	 0.87752 
309 	 76 	 0.87374 
310 	 76 	 0.87004 
311 	 76 	 0.86641 
312 	 76 	 0.86287 
313 	 76 	 0.85947 
314 	 76 	 0.85627 
315 	 76 	 0.85336 
316 	 76 	 0.8508 
317 	 76 	 0.84865 
318 	 76 	 0.84699 
319 	 76 	 0.84588 
320 	 76 	 0.84538 
321 	 76 	 0.84546 
322 	 76 	 0.84606 
323 	 76 	 0.84712 
324 	 76 	 0.84859 
325 	 76 	 0.8504 
326 	 76 	 0.85249 
327 	 76 	 0.85482 
328 	 76 	 0.85732 
329 	 76 	 0.85993 
330 	 76 	 0.8626 
331 	 76 	 0.86526 
332 	 76 	 0.86784 
333 	 76 	 0.87027 
334 	 76 	 0.87249 
335 	 76 	 0.87443 
336 	 76 	 0.87604 
337 	 76 	 0.87736 
338 	 76 	 0.87857 
339 	 76 	 0.87986 
340 	 76 	 0.88143 
341 	 76 	 0.88347 
342 	 76 	 0.88618 
343 	 76 	 0.88973 
344 	 76 	 0.89432 
345 	 76 	 0.90004 
346 	 76 	 0.90669 
347 	 76 	 0.91401 
348 	 76 	 0.92173 
349 	 76 	 0.92959 
350 	 76 	 0.93734 
351 	 76 	 0.94473 
352 	 76 	 0.95149 
353 	 76 	 0.9574 
354 	 76 	 0.96238 
355 	 76 	 0.96647 
356 	 76 	 0.96971 
357 	 76 	 0.97213 
358 	 76 	 0.97376 
359 	 76 	 0.97464 
360 	 76 	 0.9748 
361 	 76 	 0.97428 
362 	 76 	 0.97321 
363 	 76 	 0.97182 
364 	 76 	 0.9704 
365 	 76 	 0.96918 
366 	 76 	 0.96844 
367 	 76 	 0.96843 
368 	 76 	 0.96939 
369 	 76 	 0.97158 
370 	 76 	 0.97517 
371 	 76 	 0.97982 
372 	 76 	 0.98502 
373 	 76 	 0.99027 
374 	 76 	 0.99507 
375 	 76 	 0.99893 
376 	 76 	 1.00136 
377 	 76 	 1.00188 
378 	 76 	 1.0 
379 	 76 	 0.99574 
380 	 76 	 0.98964 
381 	 76 	 0.98224 
382 	 76 	 0.97411 
383 	 76 	 0.9658 
384 	 76 	 0.95784 
385 	 76 	 0.95079 
386 	 76 	 0.94517 
387 	 76 	 0.94141 
388 	 76 	 0.93931 
389 	 76 	 0.93847 
390 	 76 	 0.9385 
391 	 76 	 0.93899 
392 	 76 	 0.93957 
393 	 76 	 0.93984 
394 	 76 	 0.93942 
395 	 76 	 0.93793 
396 	 76 	 0.93525 
397 	 76 	 0.93153 
398 	 76 	 0.92695 
399 	 76 	 0.92169 
400 	 76 	 0.91594 
401 	 76 	 0.90986 
402 	 76 	 0.90364 
403 	 76 	 0.89744 
404 	 76 	 0.89143 
405 	 76 	 0.88568 
406 	 76 	 0.88023 
407 	 76 	 0.8751 
408 	 76 	 0.87033 
409 	 76 	 0.86594 
410 	 76 	 0.86198 
411 	 76 	 0.85846 
412 	 76 	 0.85542 
413 	 76 	 0.85285 
414 	 76 	 0.85064 
415 	 76 	 0.8487 
416 	 76 	 0.8469 
417 	 76 	 0.84515 
418 	 76 	 0.84334 
419 	 76 	 0.84135 
